Date,Open,High,Low,Close,Volume
2017/06/01,205,207,204.5,207,29623649
2017/06/02,208.5,209,207.5,209,23265323
2017/06/03,209,209,208,209,1535230
2017/06/05,209.5,212,209,212,22545164
2017/06/06,210.5,211.5,210.5,210.5,15382025
2017/06/07,212,212.5,210,211.5,34729326
2017/06/08,212,213,211.5,213,21654488
2017/06/09,214.5,215,212,212,35190159
2017/06/12,207,210,207,207.5,63111746
2017/06/13,207,208.5,206.5,208,49983303
2017/06/14,208.5,209.5,206,207,39083899
2017/06/15,207.5,208,207,208,19486457
2017/06/16,207.5,212,207,211.5,32856536
2017/06/19,211,213,210.5,213,17489571
2017/06/20,215,218,214.5,216.5,28784100
2017/06/21,216,217,214.5,215.5,45384482
2017/06/22,217,218,216.5,218,26094649
2017/06/23,218,218.5,217,217,39686091
2017/06/26,212,215,212,215,60140797
2017/06/27,214,214,211,211.5,44504785
